Incoming Side Of Street,5 AM - 7 AM,7 AM - 9 AM,9 AM - 11 AM,11 AM - 1 PM,1 PM - 3 PM,11 PM - 5 AM,3 PM - 5 PM,5 PM - 7 PM,7 PM - 11 PM
South,,,,,,,,,2
North,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,7,,,,,,,,7
South,,,,,,,,,
South,,,,,,,,,
South,,,1,,,,,,
North,,,1,,,,,,
South,,,,,,,,,
North,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
North,5,,,,,,,,
North,,,,,,,,,
South,,,2,,,,,,
South,,,,,,,,,
North,,,,,,,,,
South,1,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
North,7,,,,,,,,
South,,,7,,,,,,
North,,,,,,,,,
North,,,1,,,,,,
South,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
North,,,,,,,,,
North,,,,,,,,,
South,,,5,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,2,,,,,,,,
South,,,,,,,,,
North,,,6,,,,,,
North,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
South,,,1,,,,,,
North,,,,,,,,,
North,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
South,,,,,,,,,
North,,,,,,,,,
South,,,14,,,,,,
North,,,2,,,,,,
North,,,,,,,,,
North,,,6,6,,,,,
South,,,6,1,,,,,
South,,,,2,,,,,
South,,,4,1,,,,,
South,,,2,4,,,,,
South,,,1,1,,,,,
North,,,1,2,,,,,
North,,,5,4,,,,,
South,,,5,4,,,,,
North,,,4,5,,,,,
South,,,5,5,,,,,
South,,,,1,,,,,
North,,,6,6,,,,,
North,,,,5,,,,,
North,,,2,4,1,,,,
South,,,,,4,,,,
North,,,,2,2,,,,
South,,,8,8,8,,,,
South,,,,,4,,,,
South,,,5,5,5,,,,
North,,,4,,2,,,,
South,,,,,3,,,,
North,,,,,1,,,1,
South,,,,3,6,,,,
South,,,,3,5,,,,
South,,,,1,1,,,,
North,,,,2,2,,,,
South,,,,,5,,,,
South,,,,1,1,,,,
North,,,,1,1,,,,
North,,,10,10,10,,,,
South,,,,2,2,,2,2,
North,,,15,15,15,,15,,
North,,,6,6,,,6,,
North,,,,,,,2,,
South,,,6,,,,1,,
North,,,,3,3,,3,,
North,,,1,1,1,,1,,
South,,,5,5,5,,5,5,
South,,,,2,2,,2,1,
North,,,,,5,,5,,
North,,,1,2,2,,2,2,
South,,,,6,6,,6,6,
South,,,,,,,6,,
South,,,,,,,5,,
North,,,4,4,4,,4,4,
South,,,,,1,,1,,
North,,,4,4,4,,4,4,
North,,,,12,12,,12,,
North,,,,,,,1,,
South,,,7,7,7,,7,,
South,,,3,2,,,1,,
South,,,7,,,,7,7,
South,,,,,,,1,,
North,,,,,,,5,,
North,,2,2,2,2,,2,2,2
South,,3,1,2,1,,1,,
North,7,7,,,,,,,
South,,2,,,,,,,
North,,3,6,6,6,,6,6,
North,,4,7,5,1,,,,
North,5,5,5,5,5,,5,,
South,,15,15,,,,,,
South,,1,1,1,,,,,
North,,10,10,10,10,,10,,
North,,5,,,,,,,
South,,25,25,25,25,,25,25,
South,,1,3,4,,,,,
North,,1,,,,,,,
South,,2,1,1,1,,,,
South,,3,4,1,,,,,
